Dialogue_ID	Utterance_ID	Utterance	label
17	2	if you said,  big lima bean, bubbling up.  would she understand the difference?	q
17	3	rach? what are you doing?	q
17	4	oh boy, i just can't watch. it's too scary!	o
17	5	it's a diaper commercial.	s
17	6	oh yeah well, you know me, babies, responsibilities, ahhh!!!	s
17	7	pizza delivery!	oth
17	8	i'll get it! i will get that!	s
17	9	hi!	g
17	10	hi!	g
18	0	hey, you wanna get something to eat or uh, do you wanna see how long we can throw this ball back and forth? huh?	q
18	1	uhh, the ball thing.	ans
18	2	yeah?	b
18	3	hey ross, wouldn't it be great if we could go two straight hours without dropping it?!	q
18	4	uhh	ans
18	5	okay!	ag
18	6	uh-oh.	b
18	7	what?	q
18	8	i have to pee. and rachel's in the bathroom!	ans
18	9	man, i didn't think we were gonna make it!	o
18	10	i know!  don't switch hands, okay?	o
19	0	hey.	g
19	1	hey!	g
20	0	how did it go with erin?	q
20	1	oh, unbelievable! we had the best time!	s
20	2	yay!! oh so, you're not, you're not mad at us anymore?	q
20	3	no!	ans
20	4	no!	ans
20	5	no!	ans
20	6	you guys were totally right!	o
20	7	this is so much better than the first time we went out.	o
20	8	y'know?	oth
20	9	that was so awkward, we were really nervous.	o
20	10	didn't you sleep together?	q
20	11	yeah, that really calms me down.	ans
20	12	and!	b
20	13	we have so much in common!	s
20	14	she loves sandwiches, sports, although she is a met fan, not much of an issue now but if we were ever to have kids, well that's a	s
20	15	oh my god! listen to you talkin' about having kids. oh my joey.  oh, please don't get married before i do.	o
20	16	okay.	ag
21	0	how does she do that?	q
21	1	i cannot sleep in a public place.	o
21	2	would you look at her? she is so peaceful.	q
21	3	oh! what what what! ...hi.	g
21	4	it's okay, y'know, you just nodded off again.	s
21	5	what's going on with you?	q
21	6	i got no sleep last night!	ans
21	7	why?	q
21	8	my grandmother has this new boyfriend, and they're both kind of insecure in bed.	ans
21	9	oh, and deaf.	oth
21	10	so they're constantly, like, having to reassure each other that they're having a good time.	s
21	11	you have no idea how loud they are!	s
21	12	well, if you want, you can stay with rachel and me tonight.	o
21	13	thanks.	g
22	0	ew! what is that? something exploded!	q
22	1	it's just her water breaking. calm down, will you?	ans
22	2	water breaking, what do you mean? what's that, water breaking?	q
22	3	breathe, breathe, breathe.	oth
23	0	are you insane? i mean joey, is going to kill you, he's actually going to kill you dead.	o
23	1	okay! you don't think i thought of that?	s
23	2	how can you not know which one?	q
23	3	i mean that's unbelievable.	o
23	4	i mean, was it gina?	q
23	5	which one is gina?	q
23	6	dark, big hair, with the airplane earrings.	ans
23	7	no, no, no, that's dina.	s
23	8	you see you can't tell which one is which either, dwha!!	ag
24	0	i don't know, you thought 'see you saturday' was funny.	s
24	1	look honey, mark is in fashion okay, i like having a friend that i can share this stuff with.	o
24	2	you guys would never want to go to a lecture with me.	s
24	3	pa-haa!! i would love to go with you.	o
24	4	really!?	q
24	5	yeah, hey i-i have clothes, i even pick them out.	ans
24	6	i mean for, for all you know i could be a fashion..... monger.	s
24	7	okay. honey, i would love for you to go with me.  what?	o
24	8	what should i wear, now i'm all nervous.	q
25	0	: i know, we did it!! hey, that was incredible, huh?!	o
25	1	i know, it was amazing! i mean, we totally nailed it, it was beautiful.	ag
25	2	: thank you, listen, thanks a lot tribbiani, . oh my god, look at the time, i gotta catch the bus to the ball.	s
25	3	oh well, okay, good luck.	g
25	4	: yeah.	oth
25	5	unless you wanna practice the foxtrot again? or-or the tango?	o
25	6	: ahh, thanks but no. you see i-i think i'm ready to dance with girls.	o
25	7	okay.	ag
25	8	: yeah.	b
25	9	go get 'em treeger.	c
25	10	: right.  hey, ahh, you wanna come? marge has a girlfriend.	q
25	11	really?	b
25	12	: yeah, you could dance real good with her, she's the same size as me.	ans
25	13	no, i'm good.	dag
26	0	oh god, this is so nerve wracking! how-how do you do this?	q
26	1	well, unfortunately, i don't get many callbacks so	ans
26	2	is it a good sign that they asked us to hang around after the audition?	q
26	3	who knows?	s
26	4	okay uh, we have narrowed it down to raymond, ben, kyle, and joey. the rest of you, thank you very much.	s
26	5	yes!! i knew it!!  bye-bye! so long! later!	g
26	6	oh this is great! i might actually get to play ben's dad!	s
26	7	yeah!	b
26	8	actually, that can't happen.	dag
26	9	yeah because you all have such different looks, we're putting you with raymond and kyle with ben.	o
26	10	so it'll be either you two  or you two.	o
26	11	man, this is gonna be kinda weird.	dag
26	12	yeah, it is.	ag
26	13	no, we-we're gonna be like best friends, that's why it's gonna be weird.	o
27	0	okay, come on, i can't get married until i get something old, something new, something borrowed, and something blue.	o
27	1	okay, all right, all right, all right! okay!  okay, here's something, here's something blue and new.	ag
28	0	please!	oth
28	1	are you kidding?	q
28	2	i-i hurt three huge men, i gave a guy a bloody nose—i mean i-i'm not proud of it but, i really am.	s
28	3	and it's all because of you, wonderful, amazing you.	o
28	4	i think you've got concussion.	o
28	5	no, no, i'm serious. thank you.	dag
28	6	you're welcome.  i'm sorry. did i hurt you?	q
28	7	it's worth the pain.  y'know what, you know what? it's not.	ans
29	0	wow! that mike thing was interesting! i don't know what's gonna happen with phoebe and david.	o
29	1	i do! want a hint? huh?  i do    i do .	s
29	2	ok, i'm sensing that this is some kind of word play, because you are pink with barely controlled glee.	o
29	3	david is going to propose to phoebe.	s
29	4	what?  why?	q
29	6	chandler, we have talked about this.	s
29	7	you are not supposed to give people advice!	c
29	8	now couldn't you just have made some sort of inappropriate joke?	o
29	9	i	oth
29	10	they've only been going out for a few weeks and phoebe is completely hung up on mike!	s
29	11	she'll say  no , david's heart will be broken, it will be too hard for them to recover from and then phoebe will end up alone	o
29	12	man, that's some	oth
29	13	oh, that's not what you want...	s
30	0	this is my father, paul stevens. dad, this is ross geller.	s
30	1	it-it's great to meet you paul.	g
30	2	i usually prefer elizabeth's boyfriends to address me as mr. stevens.	o
30	3	of course, of course, mr. stevens.	ag
30	4	so ross, what your problem?	q
30	5	eh-wh—excuse me?	ans
30	6	why can't you get a girlfriend your own age?	q
30	7	that's funny. umm….  it's not funny.	ans
30	8	i	oth
30	9	okay.	oth
30	10	i can, i can see that.	s
30	11	umm, but i think if you give me umm, one chance i can, i can change your mind.	o
30	12	okay.	ag
30	13	what?	q
30	14	okay. i'll give you one chance to change my mind.  you got one minute.	ans
30	15	daddy!	oth
31	0	oh well, it's not on tv yet.	s
31	1	well, then it's not on the wall yet.	s
31	2	okay, fine, i will bring you a tape, huh?	s
31	3	so umm, now do you have any of matt lauer's clothes here? maybe? just ones that haven't been cleaned yet?	q
32	0	ooooohh!	oth
32	1	oh yeah, i'm sure.  and all of a sudden his hands weren't the problem anymore.	o
32	2	was it...?	q
32	3	oh, boy scouts could have camped under there.	ans
32	4	ooo,  what?	q
32	5	uma thurman.	ans
32	6	oh!	oth
32	7	the actress!	s
32	8	thanks rach.	g
32	9	so what are you gonna do?	q
32	10	you have to tell her!	o
32	11	you have to tell her!	o
32	12	it's your moral obligation, as a friend, as a woman, i think it's a feminist issue!	o
32	13	guys?	oth
32	14	guys?	oth
32	15	oh, yeah, you have to tell her.	ag
32	16	feminist issue. that's where i went!	s
32	17	she is gonna hate me.	o
32	18	yeah, well...	oth
33	0	will you marry me?	q
33	1	it's the big night! we wanted to wish you good luck!	s
33	2	yeah, yeah you have the ring?	q
33	3	yeah, right here in my pocket.  pheebs?	ans
33	4	oh! oop!	oth
33	5	okay, now will you guys get out of here? i want this is to be a surprise and she's gonna know.	o
33	6	yeah-yeah you guys. get out of here!	ag
33	7	hi guys.	g
33	8	you are beautiful.	o
33	9	oh, thank you!   what's going on?	q
33	10	we're just really…very excited about this charity event that we have to go to.	ans
34	0	okay umm, ross?	oth
34	1	i'm-i'm really warm, so i'm going to be taking off my sweater.	s
34	2	now, i'm just letting you know that this is	s
34	3	yep! that's hilarious!	o
34	4	i'm sorry. i'm done. i'm done.	ap
34	5	y'know, last night was embarrassing for you too.	s
34	6	no, not really. i mean you've seen me naked hundreds of times.	dag
34	7	uh-huh. but it was a first for the rest of my building.	s
34	8	okay. all right, that's true! but y'know i just don't embarrass that easily.	o
34	9	what?! you totally get embarrassed!	q
34	10	no, i don't! ross, i think i'm just a more secure person than you are.	ans
34	11	is that so?	q
34	12	yeah.	ans
34	13	hey lady! i don't care how much you want it! okay?! i am	s
35	0	i can't believe it!	s
35	1	i did it!	s
35	2	i rode a bike!	s
35	3	i never thought i'd be able to do that!	o
35	4	thank you ross.	g
35	5	oh hey, don't thank me, thank yourself. you're the one who faced her fears and ultimately overcame them.	s
36	0	hey, both you guys should be up there with me.	o
36	1	i mean, you two are-are my… i mean, i'm lucky to have just one good	s
36	2	thanks man.	a
36	3	i gotta go check something over here.	s
36	4	what a baby.	s
36	5	total wuss!	oth
37	0	okay, we have a lot of options here, a number of prototypes for you to try on.	s
37	1	wow! this looks great!	a
37	2	yeah! okay, this one is a mushroom cap.  umm, this one is made of bologna.	s
37	3	and-and-and-and-and the toothpicks?	s
38	0	you kissed another woman!	s
38	1	call it even?!	oth
38	2	okay!	oth
38	3	well, i'm gonna go get these  in some water.	s
38	4	wait you stole those from these people's wedding?	q
38	5	no-no, i took them from the hotel lobby.	ans
38	6	yeah, they think they can charge me for some dirty movie and a bag of mashuga nuts, they got another think coming.	s
38	7	hey!	g
38	8	my sweater!	s
38	9	i've been looking for this for like a month!	s
38	10	oh my god!!	oth
38	11	oh my god!	oth
39	0	happy?! is that what i'm supposed to be vic? happy?	q
39	1	well, why don't you tell me what you're supposed to be!	q
39	2	huh?	b
39	3	because i sure as hell can't figure it out!	s
39	4	i talk to you and nothin'.	s
39	5	you look at me, and it's nothin'.	s
39	6	nothing.	oth
39	7	tasty! i'm really starting to feel like you guys have a history, it's-it's nice.	o
39	8	i have a question about this scene.	s
39	9	yes?	ag
39	10	well, i don't understand why adrienne's attracted to victor.	q
39	11	peel the onion. first of all, he's good looking.	ans
39	12	yeah.	ag
39	13	i think my character's gonna need a little bit more of reason than that.	o
39	14	oh, hey, how about this one.	s
39	15	ah, it's says so in the script!	s
39	16	y'know ah, i-i don't know why my character likes you either, i mean it says in the script here that you're a bitch.	s
39	17	it doesn't say that in the script.	s
39	18	it does in mine!	s
40	0	i can't	dag
40	1	yeah! you gotta tell a girl before you tape her. such a rookie mistake.	o
40	2	y'know who has a great video camera?	q
40	3	greg and jenny?	ans
40	4	do you still wanna call 'em? i wanna call 'em.	q
40	5	let's call 'em.	ans
40	6	yeah! ask them if they brought their friends any souvenirs!	s
40	7	hello?  eighth street deli?	g
40	8	hey, hang up! you get food poisoning just talkin' to that place.	s
40	9	uh sorry, wrong number.	ap
40	10	here you go.	s
40	11	hello?   it's the deli again!	s
40	12	all right! i'll have a sandwich!	s
40	13	i don't think this number's right!	o
40	14	oh come on!!	oth
41	0	gotta go. i miss you too, i love you, but it's getting real late now	s
41	1	hey ma. listen, i made the appointment with dr. bazida, and... excuse me?  did you know this isn't ma?	q
41	2	her name's ronni. she's a pet mortician.	ans
41	3	sure. so how long you been...	q
41	4	remember when you were a little kid, i used to take you to the navy yard and show you the big ships?	s
41	5	since then?!	q
41	6	no, it's only been six years.	ans
41	7	i just wanted to put a nice memory in your head so you'd know that i wasn't always such a terrible guy.	o
41	8	...joe.	oth
41	9	y'ever been in love?	q
41	10	...i d'know.	ans
41	11	then y'haven't. you're burning your tomatoes.	s
41	12	you're one to talk.	s
41	13	joe, your dad's in love big time. and the worst part of it is, it's with two different women.	s
41	14	oh man. please tell me one of 'em is ma.	o
41	15	of course, course one of 'em's ma. what's the matter with you.	s
42	0	everything's gonna be all right. okay, dick?	o
42	1	hello, i am guru saj--whoa!!  that's supposed to be a duck right? 'cause otherwise, this is waaay out of my league.	s
43	0	hey, rach, how was work?	q
43	1	oh, great. although i did sit down where there wasn't a chair.	ans
43	2	by the way, ross dropped by a box of your stuff.	s
43	3	oh, well, i guess i had that one coming.	s
43	4	i'm just gonna throw it out, it's probably just a bunch of shampoo and...	s
43	5	something wrong?	q
43	6	no. nothing.	ans
44	0	and then, and then you said that thing about, about bringing the mesozoic era in the 21st century.	s
44	1	yeah, that's it?	b
44	2	yeah.	oth
45	0	dude, i am sorry about what i said!	ap
45	1	no, no, you're right, it is a ridiculous name!	ag
45	2	it's not that bad.	s
45	3	yes it is! from now on, i have no first name.	dag
45	4	so, you're just bing?	q
46	0	because we won our apartment back!	ans
46	1	what? ace is high! jack, queen, king, ace!	s
46	2	no! ace is low! ace, two, three, four!	s
46	3	i don't know. ooh! ooh! look it!  ah-ha!	s
46	4	all right, cut, let's pick again, pick again.	o
46	5	okay.	ag
46	6	come on apartment! come on apartment!  oh! i know queen is high!	s
46	7	uh-huh, not as high as… it worked! king!	dag
46	8	yeah baby!	b
46	9	but, we pick again! we pick again!	o
46	10	why?!	q
46	11	i don't know!	ans
46	12	tickets please!  that's courtside baby!	s
46	13	seriously, good game though. good game.   what are they so mad about? they get the apartment back!	q
46	14	no they didn't!	ans
47	0	you know, i don't think we brought enough stuff. did you forget to pack the baby's anvil?	q
47	1	it's gonna be worth it.	o
47	2	it's a known fact that women love babies, all right?	s
47	3	women love guys who love babies.	o
47	4	it's that whole sensitive thing.	s
47	5	quick, aim him at that pack o' babes over there.	oth
47	6	maybe one of them will break away.	o
47	7	no, no wait, for get them, we got one, hard left.	s
47	8	all right, gimme the baby.	s
47	9	no, i got him.	dag
47	11	oh, seriously you want him?	q
47	12	hello.	g
47	13	well, don't, don't think me immodest, but, me?	o
47	14	you wanna smell him?	q
47	15	oh, yeah. he's got that great baby smell. get a whiff of his head.	o
47	16	what'd i tell you? what'd i tell you?	q
47	17	well, we are great guys.	o
48	0	bye.	g
49	0	well, not really.	oth
49	1	i mean technically it's-it's not against the rules or anything, but it is frowned upon.	s
49	2	especially by that professor we ran into last night, judgey von holierthanthou.	s
49	3	well ross, you be careful now. you don't want to get a reputation as y'know professor mcnailshisstudents.	o
49	4	yeah. what-what should i do?	q
49	5	well ross, it seems pretty clear.	ans
49	6	i mean what's more important?	q
49	7	what people think or how you feel, huh?	q
49	8	ross, you gotta follow your heart.	ans
49	9	joey that is so sweet.	ap
49	10	hey.	g
49	11	hey-hey-hey! so, how did it go with dana? any reason i should leave a block of time open say thursday?	q
49	12	i couldn't do it.	ans
49	13	you couldn't do it?!	q
49	14	hey, relax i just need more time. we're going to dinner tonight.	ans
49	15	what?! you're going out with her again!	q
49	16	going out with who?	q
49	17	uh, dana keystone from college.	ans
49	18	oh yeah! wasn't she uh	oth
49	19	no, that was dana caplin.	dag
49	20	joey! you didn't even know her!	s
49	21	ah whatever!	oth
50	0	morning! hey, how's my favorite genius and my little robot buddy?!	q
50	1	don't touch him!	c
50	2	okay!	ag
50	3	all right.	s
50	4	umm, all right wayne, level with me.	s
50	5	i-i keep hearing all these rumors that i might get fired.	s
50	6	okay, they even have actors coming in to read for my part!	s
50	7	come on man, you-you got to give me a second chance!	o
50	8	i mean, i love-i love this little guy!	s
50	9	ah-ah!!	b
50	10	okay, that's why you didn't want me to touch him right?	q
50	11	here you go!	s
50	12	okay?	oth
50	13	stupid!	oth
50	14	i can't believe it!	s
50	15	god!	oth
50	16	hey, how you doin'?	q
51	0	hey.	g
51	1	hi. look um, about what happened earlier...	s
51	2	no, hey, well, i-i completely understand. you were, you were stressed.	o
51	3	i was gonna give you a chance to apologise to me.	s
51	4	for what? for letting you throw me out of your office?	dag
51	5	you had no	oth
51	6	yeah, well excuse me for wanting to be with my girlfriend on our anniversary, boy what an ass am i.	s
51	7	but i told you, i didn't have the time!	s
51	8	yeah, well you never have the time. i mean, i don't feel like i even have a girlfriend anymore, rachel.	s
51	9	wh, ross what do you want from me?	q
51	10	you want me, you want me to quit my job so you can feel like you have a girlfriend?	o
52	0	i know.	ag
52	1	ooh, i have to tell you something.	s
52	2	what?	q
52	3	but i can't tell you.	ans
52	4	okay, but wouldn't it be easier if you had to tell me something that you could tell me.	o
52	5	well, sure in a perfect world. but, no, i promised i wouldn't tell, and i swore to like all my gods.	s
52	6	okay. does it have to do with ross and rachel?	q
52	7	no.	ans
52	8	does it have to do with joey?	q
52	9	no.	ans
52	10	does it have to do with-with chandler and that sock that he keeps by his bed?	q
52	11	no, but let's come back to that later!	ans
53	0	hi!	g
53	1	richard!	oth
53	2	actually, i'm not here to complement the chef.	s
53	3	ohh… oh, that's okay i hate when people come back to complement the chef.	o
53	4	like i have nothing better to do!	s
53	5	so what's up?	q
53	6	well, it was great seeing you the other night.	ans
53	7	oh, good to see you too. did you come down here to tell me that?	q
53	8	no! i came here to tell you something else.  i came here  to tell you i still love you.	ans
54	0	one pregnant woman at a time, please! i just want you to be okay.	o
54	1	so forcing her to marry bobby is gonna make that happen?	q
54	2	maybe!  well! well…so-so uh, what kind of music does numb nuts—oh forget it! i can't!	ans
54	3	joey, i am scared to death about this.	s
54	4	but i really think i can do it, i'm just gonna need some help.	o
54	5	and bobby's gonna be here the whole time.	s
54	6	you bet i am!  and to answer your earlier question, we're straight-up gangster rap.	s
54	7	look, rachel's told me how much easier you've made all this on her. why can't you do that for me?	q
54	8	because! 'cause… 'cause you're my baby sister!	ans
54	9	and you're my big brother!	s
54	10	i mean, you're my favorite guy in the whole world.	o
54	11	i'm not even scared to tell mom and dad.	s
54	12	i was scared of telling you.	s
54	13	well i'd be scared of them, but all right.	o
54	14	joey, i can't stand the thought of having this baby with you mad at me.	o
54	15	i want him to have his uncle.	s
54	16	is my baby gonna have his uncle joey?	q
54	17	of course he's gonna have his uncle joey!	ans
54	18	we're gonna be all right. i mean, even if we're not married this baby is gonna be so loved. not just by us.	o
54	19	that's right! by his uncle too!	ag
54	20	and by you.	oth
54	21	okay bobby, why don't we just come over here and let them have a little moment.	s
54	22	come here!	c
54	23	no! seriously! what's wrong with you?!	q
55	0	i had a really nice time tonight.	s
55	1	so did i. i'm really glad monica asked us out.	ag
55	2	i'd love to ask you in, but uh, my sister's visiting and i think she's asleep on the couch.	o
55	3	you're sister? you're sister's asleep on the couch?  ohhh! i saw	s
55	4	oh hey, great, you're up. rachel, this is my sister krista. krista, this is rachel.	s
55	5	hi!	g
55	6	nice to meet you. i wish you'd told me we were having company, i'd fix myself up!	o
55	7	like it would help.	s
55	8	you are so bad!	s
55	9	you are!	oth
55	10	you are!	oth
55	11	you are!	oth
55	12	you are!	oth
55	13	you are!	oth
55	14	you are!	oth
55	15	you are so dead! i'm gonna get you.	s
55	16	uh, it was very nice meeting you.	g
56	0	oh my god, it's that victoria's secret model. something... something goodacre.	s
56	1	hi mom, it's jill.	g
56	2	she's right, it's jill. jill goodacre. oh my god. i am trapped in an atm vestibule with jill goodacre!	s
56	3	yeah, i'm fine. i'm just stuck at the bank, in an atm vestibule.	s
56	4	jill says vestibule... i'm going with vestibule.	s
56	5	i'm fine. no, i'm not alone... i don't know, some guy.	s
56	6	oh! some guy. some guy. 'hey jill, i saw you with some guy last night. yes, he was	s
57	1	are you seeing anybody right now?	q
57	2	og-ee-op, i'm not asking for me, i'm… i mean… no, i'm-i'm not gay, i'm not asking you out.	s
57	3	i'm not-i'm not-i'm not gay!	s
58	0	personal shopping? what is that? like where you walk around with snooty rich people and tell them what to buy?	q
58	1	uh-huh.	b
58	2	that sounds great!	ag
58	3	hey!	g
58	4	umm, excuse me, we switched apartments. you can't eat are food anymore, that-that gravy train had ended.	s
58	5	there's gravy?	q
58	6	if you have the big apartment you have to deal with people coming over all the time.	o
58	7	that fridge has got to be stocked, okay, that's your department now.	s
58	8	what are you doing?	q
58	9	i think i left a donut up here.	ans
59	0	so, in conclusion, the lines all go up , so i'm happy.	o
59	1	great job team!	ap
59	2	tomorrow at 8:30.	s
59	3	phil!	oth
59	4	nice job.	ap
59	5	stevens!	oth
59	6	way to go!	oth
59	7	joel-burg, you maniac!	oth
59	8	i love ya!	s
59	9	bing!	oth
61	0	oh, excuse me. i forgot my briefcase y'know, by accident.	s
61	1	of course, you did.	s
61	2	forgot something else too ya bastard!	s
61	3	well, what about you?	q
61	4	you're not feeling left out or anything are ya?	q
61	5	no. no, not at all, that's-that's ridiculous.	ans
61	6	everybody else got one, and you want one too. don't you?	q
61	7	ye-ye-yeah, yes i do!	ans
61	8	now get on out of here, you!	s
62	0	hey bob.	g
62	1	hey! how's my pal toby doing today?	q
62	2	if i see him, i'll ask.	ans
62	3	toby!	oth
62	5	yeah!	b
62	6	oh then you know each other.	s
62	7	we're on a semi-first name basis.	s
62	8	what do you think of adding him to our team?	q
62	9	bob? ooh, working here with us? everyday? yeah, i don't know if he has what it takes.	ans
62	10	really? they love him down on six.	s
62	11	but this is eleven. it's almost twice as hard up here.	s
